Ham/Spam,Text,target,words,message
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,"['Go', 'jurong', 'point', 'crazy', 'Available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'Cine', 'got', 'amore', 'wat']",go jurong point crazy available bugis n great world la e buffet cine get amore wat
ham,Ok lar... Joking wif u oni...,0,"['Ok', 'lar', 'Joking', 'wif', 'u', 'oni']",ok lar joke wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,"['Free', 'entry', '2', 'wkly', 'comp', 'win', 'FA', 'Cup', 'final', 'tkts', '21st', 'May', '2005', 'Text', 'FA', '87121', 'receive', 'entry', 'question', 'std', 'txt', 'rate', 'T', 'C', 'apply', '08452810075over18']",free entry 2 wkly comp win fa cup final tkts 21st May 2005 text fa 87121 receive entry question std txt rate c apply 08452810075over18
ham,U dun say so early hor... U c already then say...,0,"['U', 'dun', 'say', 'early', 'hor', 'U', 'c', 'already', 'say']",u dun say early hor u c already say
ham,"Nah I don't think he goes to usf, he lives around here though",0,"['Nah', 'I', 'think', 'goes', 'usf', 'lives', 'around', 'though']",Nah think go usf live around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",1,"['FreeMsg', 'Hey', 'darling', '3', 'week', 'word', 'back', 'I', 'like', 'fun', 'still', 'Tb', 'ok', 'XxX', 'std', 'chgs', 'send', '1', '50', 'rcv']",FreeMsg hey darle 3 week word back like fun still tb ok xxx std chgs send 1 50 rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,"['Even', 'brother', 'like', 'speak', 'They', 'treat', 'like', 'aids', 'patent']",even brother like speak treat like aid patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,"['As', 'per', 'request', 'Melle', 'Melle', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', 'set', 'callertune', 'Callers', 'Press', '9', 'copy', 'friends', 'Callertune']",per request Melle Melle oru Minnaminunginte Nurungu Vettam set callertune caller press 9 copy friend callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,"['WINNER', 'As', 'valued', 'network', 'customer', 'selected', 'receivea', '900', 'prize', 'reward', 'To', 'claim', 'call', '09061701461', 'Claim', 'code', 'KL341', 'Valid', '12', 'hours']",winner value network customer select receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,"['Had', 'mobile', '11', 'months', 'U', 'R', 'entitled', 'Update', 'latest', 'colour', 'mobiles', 'camera', 'Free', 'Call', 'The', 'Mobile', 'Update', 'Co', 'FREE', '08002986030']",mobile 11 month u r entitle update late colour mobile camera free call mobile update co free 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,"['I', 'gonna', 'home', 'soon', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'I', 'cried', 'enough', 'today']",going to home soon want talk stuff anymore tonight k cry enough today
